,4-gram,count
0,"('nr', 'hr', 'min', 'tcm')",67
1,"('audio', 'woman', 'welded', 'home')",59
2,"('woman', 'welded', 'home', 'begging')",59
3,"('leap', 'death', 'latest', 'lockdown')",58
4,"('death', 'latest', 'lockdown', 'drove')",58
5,"('resident', 'escorted', 'away', 'russian')",57
6,"('escorted', 'away', 'russian', 'soldier')",57
7,"('people', 'killed', 'wounded', 'missing')",56
8,"('killed', 'wounded', 'missing', 'four')",56
9,"('wounded', 'missing', 'four', 'daysrussian')",56
10,"('missing', 'four', 'daysrussian', 'general')",56
11,"('four', 'daysrussian', 'general', 'face')",56
12,"('daysrussian', 'general', 'face', 'mutinous')",56
13,"('general', 'face', 'mutinous', 'troop')",56
14,"('flee', 'burning', 'tank', 'unit')",56
15,"('burning', 'tank', 'unit', 'targeted')",56
16,"('star', 'film', 'box', 'office')",55
17,"('film', 'box', 'office', 'hit')",55
18,"('box', 'office', 'hit', 'indie')",55
19,"('office', 'hit', 'indie', 'import')",55
20,"('hit', 'indie', 'import', 'movie')",55
21,"('latest', 'lockdown', 'drove', 'despairflaming')",55
22,"('lockdown', 'drove', 'despairflaming', 'bright')",55
23,"('drove', 'despairflaming', 'bright', 'meteor')",55
24,"('despairflaming', 'bright', 'meteor', 'drop')",55
25,"('bright', 'meteor', 'drop', 'sky')",54
26,"('meteor', 'drop', 'sky', 'rural')",54
27,"('carter', 'girlfriend', 'sob', 'outside')",54
28,"('girlfriend', 'sob', 'outside', 'home')",54
29,"('sob', 'outside', 'home', 'news')",54
30,"('say', 'done', 'twitter', 'elon')",54
31,"('done', 'twitter', 'elon', 'messy')",54
32,"('tank', 'unit', 'targeted', 'ukrainiansdistressing')",50
33,"('unit', 'targeted', 'ukrainiansdistressing', 'audio')",50
34,"('targeted', 'ukrainiansdistressing', 'audio', 'woman')",50
35,"('ukrainiansdistressing', 'audio', 'woman', 'welded')",50
36,"('hamid', 'karzai', 'international', 'airport')",49
37,"('double', 'mastectomy', 'speaks', 'committee')",47
38,"('carter', 'argues', 'neighbor', 'call')",47
39,"('argues', 'neighbor', 'call', 'washed')",47
40,"('neighbor', 'call', 'washed', 'up')",47
41,"('drop', 'sky', 'rural', 'californiaaaron')",46
42,"('sky', 'rural', 'californiaaaron', 'carter')",46
43,"('rural', 'californiaaaron', 'carter', 'girlfriend')",46
44,"('californiaaaron', 'carter', 'girlfriend', 'sob')",46
45,"('away', 'russian', 'soldier', 'executedwhoopi')",46
46,"('russian', 'soldier', 'executedwhoopi', 'say')",46
47,"('soldier', 'executedwhoopi', 'say', 'done')",46
48,"('executedwhoopi', 'say', 'done', 'twitter')",46
49,"('welded', 'home', 'begging', 'releasedwoman')",44
50,"('home', 'begging', 'releasedwoman', 'double')",44
51,"('begging', 'releasedwoman', 'double', 'mastectomy')",44
52,"('releasedwoman', 'double', 'mastectomy', 'speaks')",44
53,"('call', 'washed', 'up', 'mother')",44
54,"('washed', 'up', 'mother', 'leap')",44
55,"('up', 'mother', 'leap', 'death')",44
56,"('mother', 'leap', 'death', 'latest')",44
57,"('thief', 'knock', 'trying', 'flee')",43
58,"('knock', 'trying', 'flee', 'louis')",43
59,"('trying', 'flee', 'louis', 'vuitton')",43
60,"('outside', 'home', 'news', 'deathukrainian')",38
61,"('home', 'news', 'deathukrainian', 'resident')",38
62,"('news', 'deathukrainian', 'resident', 'escorted')",38
63,"('deathukrainian', 'resident', 'escorted', 'away')",38
64,"('face', 'mutinous', 'troop', 'ukraineteen')",37
65,"('mutinous', 'troop', 'ukraineteen', 'thief')",37
66,"('troop', 'ukraineteen', 'thief', 'knock')",37
67,"('ukraineteen', 'thief', 'knock', 'trying')",37
68,"('four', 'star', 'film', 'box')",36
69,"('mastectomy', 'speaks', 'committee', 'meetingaaron')",36
70,"('speaks', 'committee', 'meetingaaron', 'carter')",36
71,"('committee', 'meetingaaron', 'carter', 'argues')",36
72,"('ifc', 'tues', 'ifc', 'wed')",35
73,"('meetingaaron', 'carter', 'argues', 'neighbor')",35
74,"('hour', 'hour', 'hour', 'hour')",35
75,"('pg', 'hr', 'min', 'starz')",34
76,"('flee', 'louis', 'vuitton', 'storerussians')",34
77,"('louis', 'vuitton', 'storerussians', 'flee')",34
78,"('vuitton', 'storerussians', 'flee', 'burning')",34
79,"('storerussians', 'flee', 'burning', 'tank')",34
80,"('pg', 'hr', 'min', 'hbo')",32
81,"('f', 'k', 'q', 'w')",28
82,"('ifc', 'fri', 'ifc', 'sat')",27
83,"('pg', 'hr', 'min', 'encore')",27
84,"('might', 'imagine', 'flyover', 'come')",27
85,"('imagine', 'flyover', 'come', 'lot')",27
86,"('flyover', 'come', 'lot', 'preparation')",27
87,"('come', 'lot', 'preparation', 'see')",27
88,"('lot', 'preparation', 'see', 'hear')",27
89,"('preparation', 'see', 'hear', 'feel')",27
90,"('see', 'hear', 'feel', 'whoosh')",27
91,"('hear', 'feel', 'whoosh', 'overhead')",26
92,"('capt', 'kelsey', 'hastings', 'selected')",26
93,"('kelsey', 'hastings', 'selected', 'tireless')",26
94,"('hastings', 'selected', 'tireless', 'work')",26
95,"('selected', 'tireless', 'work', 'ethic')",26
96,"('tireless', 'work', 'ethic', 'high')",26
97,"('work', 'ethic', 'high', 'standard')",26
98,"('ethic', 'high', 'standard', 'performance')",26
99,"('coast', 'guard', 'crew', 'initially')",26
